2024-09-08 22:35:45,974 - INFO -                           ade
soc_code label data_type     
10007541 15    train       73
               val         19
10013993 18    train       13
               val          3
10014698 24    train        2
               val          1
10015919 10    train       54
               val         13
10017947 3     train      240
               val         60
10018065 1     train      523
               val        131
10019805 19    train       12
               val          3
10021428 13    train        3
               val          1
10021881 17    train        4
               val          1
10022117 9     train       28
               val          7
10022891 5     train       65
               val         17
10027433 6     train        5
               val          1
10028395 4     train      769
               val        193
10029104 21    val          1
10029205 2     train      229
               val         57
10037175 0     train      321
               val         80
10038359 16    train       40
               val         10
10038604 11    train       47
               val         12
10038738 8     train       73
               val         18
10040785 7     train      147
               val         37
10041244 14    train        6
               val          1
10047065 12    train       20
               val          5
2024-09-08 22:35:47,832 - INFO - Device used: cuda
2024-09-08 22:36:08,255 - INFO - No description - training_loss=0.171
2024-09-08 22:36:08,421 - INFO - No description - training_loss=0.440
2024-09-08 22:36:08,587 - INFO - No description - training_loss=0.284
2024-09-08 22:36:08,755 - INFO - No description - training_loss=0.240
2024-09-08 22:36:08,922 - INFO - No description - training_loss=0.483
2024-09-08 22:36:09,088 - INFO - No description - training_loss=0.535
2024-09-08 22:36:09,254 - INFO - No description - training_loss=0.269
2024-09-08 22:36:09,421 - INFO - No description - training_loss=0.376
2024-09-08 22:36:09,586 - INFO - No description - training_loss=0.384
2024-09-08 22:36:09,753 - INFO - No description - training_loss=0.265
2024-09-08 22:36:09,920 - INFO - No description - training_loss=0.327
2024-09-08 22:36:10,086 - INFO - No description - training_loss=0.459
2024-09-08 22:36:10,253 - INFO - No description - training_loss=0.509
2024-09-08 22:36:10,418 - INFO - No description - training_loss=0.271
2024-09-08 22:36:10,587 - INFO - No description - training_loss=0.429
2024-09-08 22:36:10,752 - INFO - No description - training_loss=0.404
2024-09-08 22:36:10,921 - INFO - No description - training_loss=0.330
2024-09-08 22:36:11,087 - INFO - No description - training_loss=0.548
2024-09-08 22:36:11,254 - INFO - No description - training_loss=0.279
2024-09-08 22:36:11,422 - INFO - No description - training_loss=0.274
2024-09-08 22:36:11,589 - INFO - No description - training_loss=0.498
2024-09-08 22:36:11,756 - INFO - No description - training_loss=0.327
2024-09-08 22:36:11,921 - INFO - No description - training_loss=0.356
2024-09-08 22:36:12,088 - INFO - No description - training_loss=0.399
2024-09-08 22:36:12,254 - INFO - No description - training_loss=0.318
2024-09-08 22:36:12,423 - INFO - No description - training_loss=0.462
2024-09-08 22:36:12,590 - INFO - No description - training_loss=0.273
2024-09-08 22:36:12,757 - INFO - No description - training_loss=0.546
2024-09-08 22:36:12,925 - INFO - No description - training_loss=0.269
2024-09-08 22:36:13,092 - INFO - No description - training_loss=0.218
2024-09-08 22:36:13,260 - INFO - No description - training_loss=0.363
2024-09-08 22:36:13,427 - INFO - No description - training_loss=0.394
2024-09-08 22:36:13,595 - INFO - No description - training_loss=0.377
