2024-10-01 00:49:44,236 - INFO -                           ade
soc_code label data_type     
10007541 15    train        6
               val          1
10010331 23    val          1
10013993 18    train        3
               val          1
10014698 24    val          1
10015919 10    train       13
               val          3
10017947 3     train       50
               val         13
10018065 1     train      188
               val         47
10019805 19    train        1
               val          1
10021428 13    train        6
               val          2
10021881 17    train        4
               val          1
10022117 9     train       13
               val          3
10022891 5     train       43
               val         11
10027433 6     train       38
               val         10
10028395 4     train       46
               val         12
10029104 21    train        1
               val          1
10029205 2     train      170
               val         42
10037175 0     train      229
               val         58
10038359 16    train        5
               val          1
10038604 11    train        8
               val          2
10038738 8     train       18
               val          4
10040785 7     train       22
               val          6
10041244 14    train        6
               val          1
10042613 20    train        1
               val          1
10047065 12    train        8
               val          2
10077536 22    val          1
2024-10-01 00:49:47,396 - INFO - Device used: cuda
2024-10-01 00:52:25,282 - INFO - No description - training_loss=0.136
2024-10-01 00:52:25,798 - INFO - No description - training_loss=0.104
2024-10-01 00:52:26,267 - INFO - No description - training_loss=0.018
2024-10-01 00:52:26,766 - INFO - No description - training_loss=0.038
2024-10-01 00:52:27,266 - INFO - No description - training_loss=0.096
2024-10-01 00:52:27,735 - INFO - No description - training_loss=0.060
2024-10-01 00:52:28,235 - INFO - No description - training_loss=0.120
2024-10-01 00:52:28,735 - INFO - No description - training_loss=0.022
2024-10-01 00:52:29,235 - INFO - No description - training_loss=0.210
2024-10-01 00:52:29,719 - INFO - No description - training_loss=0.098
2024-10-01 00:52:30,219 - INFO - No description - training_loss=0.051
2024-10-01 00:52:30,219 - INFO - 
2024-10-01 00:52:30,219 - INFO - 
Epoch 6
2024-10-01 00:52:30,219 - INFO - Training loss: 0.2685218349776485
2024-10-01 00:52:30,219 - INFO - No description - None
2024-10-01 00:52:30,719 - INFO - No description - training_loss=0.070
2024-10-01 00:52:31,218 - INFO - No description - training_loss=0.169
2024-10-01 00:52:31,734 - INFO - No description - training_loss=0.006
2024-10-01 00:52:32,249 - INFO - No description - training_loss=0.033
2024-10-01 00:52:32,749 - INFO - No description - training_loss=0.161
2024-10-01 00:52:33,280 - INFO - No description - training_loss=0.031
2024-10-01 00:52:33,780 - INFO - No description - training_loss=0.092
2024-10-01 00:52:34,280 - INFO - No description - training_loss=0.060
2024-10-01 00:52:34,780 - INFO - No description - training_loss=0.026
2024-10-01 00:52:35,264 - INFO - No description - training_loss=0.118
2024-10-01 00:52:35,771 - INFO - No description - training_loss=0.007
2024-10-01 00:52:36,271 - INFO - No description - training_loss=0.056
2024-10-01 00:52:36,755 - INFO - No description - training_loss=0.113
2024-10-01 00:52:37,271 - INFO - No description - training_loss=0.043
2024-10-01 00:52:37,755 - INFO - No description - training_loss=0.077
2024-10-01 00:52:38,255 - INFO - No description - training_loss=0.007
2024-10-01 00:52:38,755 - INFO - No description - training_loss=0.054
2024-10-01 00:52:39,254 - INFO - No description - training_loss=0.007
2024-10-01 00:52:39,770 - INFO - No description - training_loss=0.130
2024-10-01 00:52:40,239 - INFO - No description - training_loss=0.052
2024-10-01 00:52:40,738 - INFO - No description - training_loss=0.062
2024-10-01 00:52:41,191 - INFO - No description - training_loss=0.020
2024-10-01 00:52:41,676 - INFO - No description - training_loss=0.006
2024-10-01 00:52:42,160 - INFO - No description - training_loss=0.009
2024-10-01 00:52:42,691 - INFO - No description - training_loss=0.091
2024-10-01 00:52:43,175 - INFO - No description - training_loss=0.032
2024-10-01 00:52:43,660 - INFO - No description - training_loss=0.070
2024-10-01 00:52:44,128 - INFO - No description - training_loss=0.074
2024-10-01 00:52:44,597 - INFO - No description - training_loss=0.016
2024-10-01 00:52:45,097 - INFO - No description - training_loss=0.139
2024-10-01 00:52:45,581 - INFO - No description - training_loss=0.174
2024-10-01 00:52:46,081 - INFO - No description - training_loss=0.008
2024-10-01 00:52:46,581 - INFO - No description - training_loss=0.048
2024-10-01 00:52:47,065 - INFO - No description - training_loss=0.101
2024-10-01 00:52:47,581 - INFO - No description - training_loss=0.015
2024-10-01 00:52:48,065 - INFO - No description - training_loss=0.091
2024-10-01 00:52:48,533 - INFO - No description - training_loss=0.090
2024-10-01 00:52:49,033 - INFO - No description - training_loss=0.099
2024-10-01 00:52:49,533 - INFO - No description - training_loss=0.100
2024-10-01 00:52:50,017 - INFO - No description - training_loss=0.031
2024-10-01 00:52:50,502 - INFO - No description - training_loss=0.011
2024-10-01 00:52:51,017 - INFO - No description - training_loss=0.014
2024-10-01 00:52:51,501 - INFO - No description - training_loss=0.007
2024-10-01 00:52:51,986 - INFO - No description - training_loss=0.021
2024-10-01 00:52:52,470 - INFO - No description - training_loss=0.091
2024-10-01 00:52:52,970 - INFO - No description - training_loss=0.063
2024-10-01 00:52:53,438 - INFO - No description - training_loss=0.117
